"Application","Legacy Path","Supported Since","Discussion","Notes"
"libice","~/.ICEauthority","","[116]","$ export ICEAUTHORITY=""$XDG_CACHE_HOME""/ICEauthority Make sure XDG_CACHE_HOME is set beforehand to directory user running Xorg has write access to. Do not use XDG_RUNTIME_DIR as it is available after login. Display managers that launch Xorg (like GDM) will repeatedly fail otherwise."
"maven","~/.m2","","[117]","$ mvn -gs ""$XDG_CONFIG_HOME""/maven/settings.xml and set <localRepository> as appropriate in settings.xml"
"MOC","~/.moc","","","$ mocp -M ""$XDG_CONFIG_HOME""/moc $ mocp -O MOCDir=""$XDG_CONFIG_HOME""/moc"
"Node.js","~/.node_repl_history","","","$ export NODE_REPL_HISTORY=""$XDG_DATA_HOME""/node_repl_history [119]"
"notmuch","~/.notmuch-config","","[120]","$ export NOTMUCH_CONFIG=""$XDG_CONFIG_HOME""/notmuch/notmuchrc $ export NMBGIT=""$XDG_DATA_HOME""/notmuch/nmbug"
"npm","~/.npm ~/.npmrc","","[121]","$ export NPM_CONFIG_USERCONFIG=$XDG_CONFIG_HOME/npm/npmrc npmrc prefix=${XDG_DATA_HOME}/npm cache=${XDG_CACHE_HOME}/npm tmp=${XDG_RUNTIME_DIR}/npm init-module=${XDG_CONFIG_HOME}/npm/config/npm-init.js  prefix is unnecessary (and unsupported) if Node.js is installed by nvmAUR."
"nuget","~/.nuget/packages","","[122]","$ export NUGET_PACKAGES=""$XDG_CACHE_HOME""/NuGetPackages"
"NVIDIA","~/.nv","","","Uses XDG_CACHE_HOME if set, otherwise improperly falls back to ~/.nv instead of ~/.cache."
"Octave","~/octave ~/.octave_packages ~/.octave_hist","","","$ export OCTAVE_HISTFILE=""$XDG_CACHE_HOME/octave-hsts"" $ export OCTAVE_SITE_INITFILE=""$XDG_CONFIG_HOME/octave/octaverc""  $XDG_CONFIG_HOME/octave/octaverc source /usr/share/octave/site/m/startup/octaverc; pkg prefix ~/.local/share/octave/packages ~/.local/share/octave/packages; pkg local_list /home/<your username>/.local/share/octave/octave_packages;  The local_list option must be given an absolute path."
"openscad","~/.OpenSCAD","7c3077b0f","[123]","Does not fully honour XDG Base Directory Specification, see [124] Currently it hard-codes ~/.local/share."
"OpenSSL","~/.rnd","","","Seeding file .rnd's location can be set with RANDFILE environment variable per FAQ."
"Pidgin","~/.purple","","[125]","$ pidgin --config=""$XDG_DATA_HOME""/purple"
"PostgreSQL","~/.psqlrc ~/.psql_history ~/.pgpass ~/.pg_service.conf","9.2","[126] [127]","$ export PSQLRC=""$XDG_CONFIG_HOME/pg/psqlrc"" $ export PSQL_HISTORY=""$XDG_CACHE_HOME/pg/psql_history"" $ export PGPASSFILE=""$XDG_CONFIG_HOME/pg/pgpass"" $ export PGSERVICEFILE=""$XDG_CONFIG_HOME/pg/pg_service.conf"" It is required to create both directories: $ mkdir ""$XDG_CONFIG_HOME/pg"" && mkdir ""$XDG_CACHE_HOME/pg"""
"PulseAudio","~/.esd_auth","","","Very likely generated by the module-esound-protocol-unix.so module.  It can be configured to use a different location but it makes much more sense to just comment out this module in /etc/pulse/default.pa or ""$XDG_CONFIG_HOME""/pulse/default.pa."
"python-azure-cliAUR","~/.azure","","","$ export AZURE_CONFIG_DIR=$XDG_DATA_HOME/azure"
"python-gripAUR","~/.grip","","","$ export GRIPHOME=""$XDG_CONFIG_HOME/grip"""
"racket","~/.racketrc ~/.racket","","[128]","$ export PLTUSERHOME=""$XDG_DATA_HOME""/racket"
"rlwrap","~/.*_history","","[129]","$ export RLWRAP_HOME=""$XDG_DATA_HOME""/rlwrap"
"Ruby#RubyGems","~/.gem","","","$ export GEM_HOME=""$XDG_DATA_HOME""/gem $ export GEM_SPEC_CACHE=""$XDG_CACHE_HOME""/gem Make sure to remove gem: --user-install from /etc/gemrc"
"sbt","~/.sbt ~/.ivy2","","[131]","$ sbt -ivy ""$XDG_DATA_HOME""/ivy2 -sbt-dir ""$XDG_DATA_HOME""/sbt (beware [132])"
"SageMath","~/.sage","","","$ export DOT_SAGE=""$XDG_CONFIG_HOME""/sage"
"spacemacs","~/.spacemacs ~/.spacemacs.d","[133]","[134]","Move the ~/.spacemacs file. $ export SPACEMACSDIR=""$XDG_CONFIG_HOME""/spacemacs $ mv ~/.spacemacs ""$SPACEMACSDIR""/init.el Other files need to be configured like Emacs."
"subversion","~/.subversion","","[136] [137][138]","$ svn --config-dir ""$XDG_CONFIG_HOME""/subversion"
"tiptopAUR","~/.tiptoprc","","","This will still expect the .tiptoprc file. $ tiptop -W ""$XDG_CONFIG_HOME""/tiptop"
"urxvtd","~/.urxvt/urxvtd-hostname","","","$ export RXVT_SOCKET=""$XDG_RUNTIME_DIR""/urxvtd"
"Vagrant","~/.vagrant.d ~/.vagrant.d/aliases","","[139]","$ export VAGRANT_HOME=""$XDG_DATA_HOME""/vagrant $ export VAGRANT_ALIAS_FILE=""$XDG_DATA_HOME""/vagrant/aliases"
"Visual Studio Code","~/.vscode-oss/argv.json","","[140]","You can use $ export VSCODE_PORTABLE=""$XDG_DATA_HOME""/vscode, which is not documented and might break unexpectedly"
"WakaTime","~/.wakatime.cfg ~/.wakatime.data ~/.wakatime.db ~/.wakatime.log","","","$ export WAKATIME_HOME=""$XDG_CONFIG_HOME/wakatime"" The directory needs to be created manually: $ mkdir ""$XDG_CONFIG_HOME/wakatime"""
"wget","~/.wgetrc ~/.wget-hsts","","","$ export WGETRC=""$XDG_CONFIG_HOME/wgetrc"" and add the following as an alias for wget: $ wget --hsts-file=""$XDG_CACHE_HOME/wget-hsts"" or set the hsts-file variable with an absolute path as wgetrc does not support environment variables: $ echo hsts-file \= ""$XDG_CACHE_HOME""/wget-hsts >> ""$XDG_CONFIG_HOME/wgetrc"""
"wine","~/.wine","","[143]","Winetricks uses XDG-alike location below for WINEPREFIX management: $ mkdir -p ""$XDG_DATA_HOME""/wineprefixes $ export WINEPREFIX=""$XDG_DATA_HOME""/wineprefixes/default"
"xbindkeys","~/.xbindkeysrc","","","$ xbindkeys -f ""$XDG_CONFIG_HOME""/xbindkeys/config"
"xorg-xauth","~/.Xauthority","","","$ export XAUTHORITY=""$XDG_RUNTIME_DIR""/Xauthority Note that LightDM does not allow you to change this variable. If you change it nonetheless, you will not be able to login. Use startx instead or configure LightDM. According to [144] SLiM has ~/.Xauthority hardcoded."
"xinit","~/.xinitrc ~/.xserverrc","","[145]","$ export XINITRC=""$XDG_CONFIG_HOME""/X11/xinitrc $ export XSERVERRC=""$XDG_CONFIG_HOME""/X11/xserverrc Note that these variables are respected by xinit, but not by startx. Instead, specify the filename as an argument: $ startx ""$XDG_CONFIG_HOME/X11/xinitrc"" -- ""$XDG_CONFIG_HOME/X11/xserverrc"" vt1"
"xorg-xrdb","~/.Xresources ~/.Xdefaults","","","Ultimately you should be using Xresources and since these resources are loaded via xrdb you can specify a path such as $ xrdb -load ~/.config/X11/xresources."
"yarn","~/.yarnrc ~/.yarn/ ~/.yarncache/ ~/.yarn-config/","2d454b5","[147] [148]","$ alias yarn=""yarn --use-yarnrc $XDG_CONFIG_HOME/yarn/config"""
